iso_o,iso_d,comlang_off,distcap
FRA,ESP,0,1054.656
FRA,FRA,0,278.1876
FRA,GBR,0,342.9475
FRA,HKG,0,9639.476
FRA,IND,0,6594.23
FRA,ITA,0,1109.901
FRA,JPN,0,9725.629
FRA,KOR,0,8981.467
FRA,LKA,0,8526.015
FRA,MEX,0,9206.813
FRA,MYS,0,10436.4
FRA,NGA,0,4440.135
FRA,NLD,0,427.9169
FRA,PAK,0,5932.586
FRA,RUS,0,2494.316
FRA,SAU,0,4694.5
FRA,SGP,0,10748.26
FRA,TUR,0,2600.656
FRA,USA,0,6169.154
FRA,VNM,0,9208.554
FRA,ZAF,0,8692.812
GBR,ARE,0,5483.745
GBR,AUS,1,17001.95
GBR,BEL,0,323.7796
GBR,BGD,0,8011.9
GBR,BRA,0,8797.828
GBR,CAN,1,5364.799
GBR,CHN,0,8151.353
GBR,DEU,0,936.1019
GBR,EGY,0,3516.866
GBR,ESP,0,1263.379
GBR,FRA,0,342.9475
GBR,GBR,0,185.8346
GBR,HKG,1,9638.419
GBR,IND,1,6720.636
GBR,ITA,0,1438.425
GBR,JPN,0,9574.237
GBR,KOR,0,8875.39
GBR,LKA,0,8725.037
GBR,MEX,0,8938.404
GBR,MYS,0,10559.89
GBR,NGA,1,4757.643
GBR,NLD,0,360.315
GBR,PAK,1,6049.916
GBR,RUS,0,2510.88
GBR,SAU,0,4957.345
GBR,SGP,1,10868.94
GBR,TUR,0,2838.027
GBR,USA,1,5901.343
GBR,VNM,0,9248.713
GBR,ZAF,1,9033.48
HKG,ARE,0,6059.646
HKG,AUS,1,7393.697
HKG,BEL,0,9405.117
HKG,BGD,0,2439.355
HKG,BRA,0,18014.9
HKG,CAN,1,12434.39
HKG,CHN,1,1976.249
HKG,DEU,0,8759.48
HKG,EGY,0,8148.943
HKG,ESP,0,10551.06
HKG,FRA,0,9639.476
HKG,GBR,1,9638.419
HKG,HKG,0,12.42926
HKG,IND,1,3763.475
HKG,ITA,0,9289.38
HKG,JPN,0,2891.225
HKG,KOR,0,2095.843
HKG,LKA,0,4053.215
HKG,MEX,0,14147.54
HKG,MYS,1,2518.368
HKG,NGA,1,11342.32
HKG,NLD,0,9290.671
HKG,PAK,1,4196.246
HKG,RUS,0,7145.355
HKG,SAU,0,6813.409
HKG,SGP,1,2587.967
HKG,TUR,0,7732.957
HKG,USA,1,13131.11
HKG,VNM,0,868.035
HKG,ZAF,1,10689.86
IND,ARE,0,2312.871
IND,AUS,1,10363.85
IND,BEL,0,6419.599
IND,BGD,0,1421.938
IND,BRA,0,14251.55
IND,CAN,1,11349.87
IND,CHN,0,3785.013
IND,DEU,0,5785.567
IND,EGY,0,4432.625
IND,ESP,0,7282.046
IND,FRA,0,6594.23
IND,GBR,1,6720.636
IND,HKG,1,3763.475
IND,IND,0,681.9816
IND,ITA,0,5922.222
IND,JPN,0,5847.71
IND,KOR,0,4692.672
IND,LKA,0,2431.215
IND,MEX,0,14673.66
IND,MYS,0,3842.43
IND,NGA,1,7585.293
IND,NLD,0,6363.421
IND,PAK,1,683.3699
IND,RUS,0,4341.881
IND,SAU,0,3053.153
IND,SGP,1,4154.034
IND,TUR,0,4222.863
IND,USA,1,12059.81
IND,VNM,0,3006.763
IND,ZAF,1,8000.751
ITA,ARE,0,4303.976
ITA,AUS,0,16232.27
ITA,BEL,0,1174.904
ITA,BGD,0,7311.514
ITA,BRA,0,8913.18
ITA,CAN,0,6737.826
ITA,CHN,0,8134.695
ITA,DEU,0,1187.299
ITA,EGY,0,2133.612
ITA,ESP,0,1366.76
ITA,FRA,0,1109.901
ITA,GBR,0,1438.425
ITA,HKG,0,9289.38
ITA,IND,0,5922.222
ITA,ITA,0,206.4667
ITA,JPN,0,9869.275
ITA,KOR,0,8982.659
ITA,LKA,0,7635.494
ITA,MEX,0,10254.87
ITA,MYS,0,9717.922
ITA,NGA,0,3677.193
ITA,NLD,0,1297.695
ITA,PAK,0,5300.738
ITA,RUS,0,2383.171
ITA,SAU,0,3684.742
ITA,SGP,0,10033.4
ITA,TUR,0,1721.419
ITA,USA,0,7224.739
ITA,VNM,0,8741.851
ITA,ZAF,0,7697.383
JPN,ARE,0,8062.889
JPN,AUS,0,7958.28
JPN,BEL,0,9463.263
JPN,BGD,0,4903.568
